,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,45163399,2021-02-26,2021-02-28,Loft inteiro em Ilha Porchat,Loft com vista incrível para o mar! Ar cond 8andar,4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.80,40,135,215,Novo preço mais baixo
1,41131336,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/4 c/Piscina e Ar Cond -100m do mar,4 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.92,26,97,147,Novo preço mais baixo
2,17715456,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Apartamento de frente para o mar!,6 hóspedes,2 quartos,3 camas,1 banheiro,Cozinha,Permitido animais,Máquina de Lavar,Vista para o mar,4.90,41,242,342,Novo preço mais baixo
3,45318454,2021-02-19,2021-02-21,Apartamento inteiro em Canto do Forte,"Alugo apartamento canto do Forte, Praia Grande",4 hóspedes,1 quarto,3 camas,1 banheiro,Ar-condicionado,Cozinha,Estacionamento gratuito,Self check-In,4.73,11,197,257,Novo preço mais baixo
4,45620462,2021-02-19,2021-02-21,Apartamento inteiro em Vila Balneária,Apartamento Praia Grande,4 hóspedes,2 quartos,3 camas,2 banheiros,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.68,25,178,228,Novo preço mais baixo
5,36976106,2021-02-26,2021-02-28,Apartamento inteiro em Guilhermina,Apartamento na orla da praia,6 hóspedes,2 quartos,3 camas,1 banheiro e meio,Wi-Fi,Máquina de Lavar,Self check-In,Elevador,4.97,32,265,365,Novo preço mais baixo
6,45620462,2021-02-26,2021-02-28,Apartamento inteiro em Vila Balneária,Apartamento Praia Grande,4 hóspedes,2 quartos,3 camas,2 banheiros,Vista para o mar,Vista para as águas,Permitido animais,Elevador,4.68,25,178,228,Novo preço mais baixo
7,17715456,2021-02-26,2021-02-28,Apartamento inteiro em Praia Grande,Apartamento de frente para o mar!,6 hóspedes,2 quartos,3 camas,1 banheiro,Máquina de Lavar,Vista para o mar,Permitido animais,Cozinha,4.90,41,242,342,Novo preço mais baixo
8,45660011,2021-02-26,2021-02-28,Apartamento inteiro em Cidade Ocian,Apartamento Inteiro - próximo a Praia da Ocian.,8 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Permitido animais,Cozinha,5.0,8,227,277,Novo preço mais baixo
9,40673627,2021-02-26,2021-02-28,Casa inteira em Loty,Casa Inteira com piscina Vila Loty Itanhaém,16 hóspedes,1 quarto,1 cama,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.86,21,285,285,Novo preço mais baixo
10,47306066,2021-02-19,2021-02-21,Condomínio inteiro em Jardim Marina,Apartamento em Mongaguá - Golden Village,6 hóspedes,1 quarto,1 cama,2 banheiros,Piscina,Cozinha,Estacionamento gratuito,Academia,5.0,4,304,434,Novo preço mais baixo
11,41963184,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Apto Praia Grande - SP,6 hóspedes,2 quartos,3 camas,1 banheiro,Wi-Fi,Elevador,Cozinha,Estacionamento gratuito,5.0,6,317,417,Novo preço mais baixo
12,30111041,2021-02-26,2021-02-28,Apartamento inteiro em Itararé,"Apto Itararé, São Vicente/SP - frente para o mar",6 hóspedes,3 quartos,3 camas,2 banheiros,Wi-Fi,Self check-In,Permitido animais,Elevador,5.0,45,304,434,Novo preço mais baixo
13,45163399,2021-02-26,2021-02-28,Loft inteiro em Ilha Porchat,Loft com vista incrível para o mar! Ar cond 8andar,4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Máquina de Lavar,Secadora,Vista para o mar,4.80,40,135,215,Novo preço mais baixo
16,45235767,2021-02-19,2021-02-21,Apartamento inteiro em Vila Caiçara,Maravilhoso apto frente ao mar no Caiçara,6 hóspedes,2 quartos,3 camas,1 banheiro,Cozinha,Permitido animais,Self check-In,Vista para as águas,5.0,3,271,371,Novo preço mais baixo
17,45008341,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Apartamento frente ao mar.,6 hóspedes,2 quartos,5 camas,2 banheiros,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.29,7,336,536,Novo preço mais baixo
19,30745596,2021-02-26,2021-02-28,Apartamento inteiro em Praia Grande,"Apartamento Kitnet-Balneário Florida, P. Grande-SP",5 hóspedes,Estúdio,3 camas,1 banheiro,Cozinha,Estacionamento gratuito,Vista para as águas,Vista para o mar,4.57,35,165,285,Novo preço mais baixo
20,46604376,2021-02-19,2021-02-21,Apartamento inteiro em Itararé,Lindo ap 1 dorm na quadra da praia em São Vicente,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Máquina de Lavar,Vista para o mar,Cozinha,5.0,10,180,240,Novo preço mais baixo
21,37515283,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Praia Grande - Ocian Apartamento pertinho do mar,10 hóspedes,3 quartos,6 camas,2 banheiros,Ar-condicionado,Cozinha,Estacionamento gratuito,Elevador,4.90,21,378,628,Novo preço mais baixo
22,46604376,2021-02-19,2021-02-21,Apartamento inteiro em Itararé,Lindo ap 1 dorm na quadra da praia em São Vicente,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Cozinha,Máquina de Lavar,Vista para o mar,5.0,10,180,240,Novo preço mais baixo
25,46063952,2021-02-26,2021-02-28,Apartamento inteiro em Guilhermina,Apartamento de frente para praia,6 hóspedes,1 quarto,10 camas,1 banheiro,Wi-Fi,Vista para o mar,Permitido animais,Cozinha,5.0,9,158,223,Novo preço mais baixo
26,46063952,2021-02-19,2021-02-21,Apartamento inteiro em Guilhermina,Apartamento de frente para praia,6 hóspedes,1 quarto,10 camas,1 banheiro,Wi-Fi,Vista para o mar,Permitido animais,Cozinha,5.0,9,158,223,Novo preço mais baixo
27,45318454,2021-02-19,2021-02-21,Apartamento inteiro em Canto do Forte,"Alugo apartamento canto do Forte, Praia Grande",4 hóspedes,1 quarto,3 camas,1 banheiro,Self check-In,Ar-condicionado,Cozinha,Estacionamento gratuito,4.73,11,197,257,Novo preço mais baixo
28,45318454,2021-02-26,2021-02-28,Apartamento inteiro em Canto do Forte,"Alugo apartamento canto do Forte, Praia Grande",4 hóspedes,1 quarto,3 camas,1 banheiro,Ar-condicionado,Cozinha,Estacionamento gratuito,Self check-In,4.73,11,190,250,Novo preço mais baixo
29,45318454,2021-02-26,2021-02-28,Apartamento inteiro em Canto do Forte,"Alugo apartamento canto do Forte, Praia Grande",4 hóspedes,1 quarto,3 camas,1 banheiro,Self check-In,Ar-condicionado,Cozinha,Estacionamento gratuito,4.73,11,190,250,Novo preço mais baixo
31,45235767,2021-02-19,2021-02-21,Apartamento inteiro em Vila Caiçara,Maravilhoso apto frente ao mar no Caiçara,6 hóspedes,2 quartos,3 camas,1 banheiro,Vista para o mar,Vista para as águas,Self check-In,Permitido animais,5.0,3,271,371,Novo preço mais baixo
33,23175564,2021-02-19,2021-02-21,Condomínio inteiro em Aparecida,"Venha viver a Natureza, prédio frente  praia",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.79,84,160,240,Novo preço mais baixo
34,20713038,2021-02-19,2021-02-21,Apartamento inteiro em Itararé,Total privacidade próximo da praia.,2 hóspedes,1 quarto,1 cama,1 banheiro,Self check-In,Permitido animais,Elevador,Cozinha,4.28,65,175,205,Novo preço mais baixo
38,46992107,2021-02-19,2021-02-21,Apartamento inteiro em Itararé,"Apartamento amplo na praia de Itararé, SãoVicente",8 hóspedes,3 quartos,4 camas,3 banheiros,Cozinha,Estacionamento gratuito,Permitido animais,Vista para o mar,4.0,4,322,502,Novo preço mais baixo
45,45235767,2021-02-26,2021-02-28,Apartamento inteiro em Vila Caiçara,Maravilhoso apto frente ao mar no Caiçara,6 hóspedes,2 quartos,3 camas,1 banheiro,Cozinha,Permitido animais,Self check-In,Vista para as águas,5.0,3,271,371,Novo preço mais baixo
46,30745596,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,"Apartamento Kitnet-Balneário Florida, P. Grande-SP",5 hóspedes,Estúdio,3 camas,1 banheiro,Vista para o mar,Vista para as águas,Cozinha,Estacionamento gratuito,4.57,35,165,285,Novo preço mais baixo
47,37515283,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Praia Grande - Ocian Apartamento pertinho do mar,10 hóspedes,3 quartos,6 camas,2 banheiros,Máquina de Lavar,Ar-condicionado,Elevador,Cozinha,4.90,21,378,628,Novo preço mais baixo
49,20713038,2021-02-19,2021-02-21,Apartamento inteiro em Itararé,Total privacidade próximo da praia.,2 hóspedes,1 quarto,1 cama,1 banheiro,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.28,65,175,205,Novo preço mais baixo
51,39446063,2021-02-19,2021-02-21,Apartamento inteiro em Gonzaga,"Seu AP na praia, com tudo ao redor",6 hóspedes,2 quartos,2 camas,2 banheiros e meio,Wi-Fi,Ar-condicionado,Cozinha,Elevador,4.97,30,434,434,Novo preço mais baixo
55,39004822,2021-02-19,2021-02-21,Apartamento inteiro em Nova Mirim,Apartamento  pé na areia.,6 hóspedes,1 quarto,5 camas,1 banheiro,Wi-Fi,Máquina de Lavar,Academia,Permitido animais,4.83,6,183,183,Novo preço mais baixo
58,30745596,2021-02-26,2021-02-28,Apartamento inteiro em Praia Grande,"Apartamento Kitnet-Balneário Florida, P. Grande-SP",5 hóspedes,Estúdio,3 camas,1 banheiro,Vista para o mar,Vista para as águas,Cozinha,Estacionamento gratuito,4.57,35,165,285,Novo preço mais baixo
59,37515283,2021-02-26,2021-02-28,Apartamento inteiro em Praia Grande,Praia Grande - Ocian Apartamento pertinho do mar,10 hóspedes,3 quartos,6 camas,2 banheiros,Máquina de Lavar,Ar-condicionado,Elevador,Cozinha,4.90,21,378,628,Novo preço mais baixo
60,46992107,2021-02-19,2021-02-21,Apartamento inteiro em Itararé,"Apartamento amplo na praia de Itararé, SãoVicente",8 hóspedes,3 quartos,4 camas,3 banheiros,Vista para o mar,Permitido animais,Cozinha,Estacionamento gratuito,4.0,4,322,502,Novo preço mais baixo
62,39446063,2021-02-19,2021-02-21,Apartamento inteiro em Gonzaga,"Seu AP na praia, com tudo ao redor",6 hóspedes,2 quartos,2 camas,2 banheiros e meio,Wi-Fi,Vista para o mar,Ar-condicionado,Elevador,4.97,30,434,434,Novo preço mais baixo
63,42329117,2021-02-19,2021-02-21,Apartamento inteiro em Nova Mirim,Apto. novo-frente ao mar-piscina na cobertura-wifi,4 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Vista para o mar,Vista para as águas,Piscina,4.88,34,184,284,Novo preço mais baixo
64,17715456,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Apartamento de frente para o mar!,6 hóspedes,2 quartos,3 camas,1 banheiro,Máquina de Lavar,Vista para o mar,Permitido animais,Cozinha,4.90,41,242,342,Novo preço mais baixo
67,45235767,2021-02-26,2021-02-28,Apartamento inteiro em Vila Caiçara,Maravilhoso apto frente ao mar no Caiçara,6 hóspedes,2 quartos,3 camas,1 banheiro,Vista para o mar,Vista para as águas,Self check-In,Permitido animais,5.0,3,271,371,Novo preço mais baixo
70,23175564,2021-02-26,2021-02-28,Condomínio inteiro em Aparecida,"Venha viver a Natureza, prédio frente  praia",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Máquina de Lavar,Secadora,Academia,4.79,84,160,240,Novo preço mais baixo
72,17715456,2021-02-26,2021-02-28,Apartamento inteiro em Praia Grande,Apartamento de frente para o mar!,6 hóspedes,2 quartos,3 camas,1 banheiro,Cozinha,Permitido animais,Máquina de Lavar,Vista para o mar,4.90,41,242,342,Novo preço mais baixo
73,46063952,2021-02-26,2021-02-28,Apartamento inteiro em Guilhermina,Apartamento de frente para praia,6 hóspedes,1 quarto,10 camas,1 banheiro,Wi-Fi,Cozinha,Permitido animais,Vista para o mar,5.0,9,158,223,Novo preço mais baixo
80,45008341,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Apartamento frente ao mar.,6 hóspedes,2 quartos,5 camas,2 banheiros,Wi-Fi,Máquina de Lavar,Vista para o mar,Vista para as águas,4.29,7,336,536,Novo preço mais baixo
82,42329117,2021-02-19,2021-02-21,Apartamento inteiro em Nova Mirim,Apto. novo-frente ao mar-piscina na cobertura-wifi,4 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.88,34,184,284,Novo preço mais baixo
84,46063952,2021-02-19,2021-02-21,Apartamento inteiro em Guilhermina,Apartamento de frente para praia,6 hóspedes,1 quarto,10 camas,1 banheiro,Wi-Fi,Cozinha,Permitido animais,Vista para o mar,5.0,9,158,223,Novo preço mais baixo
88,47306066,2021-02-19,2021-02-21,Condomínio inteiro em Jardim Marina,Apartamento em Mongaguá - Golden Village,6 hóspedes,1 quarto,1 cama,2 banheiros,Vista para o mar,Academia,Piscina,Cozinha,5.0,4,304,434,Novo preço mais baixo
95,44641452,2021-02-26,2021-02-28,Casa inteira em Savoy,Kit-net 6 pessoas pé na areia ot preço Itanhaem .,6 hóspedes,1 quarto,6 camas,1 banheiro,Vista para o mar,Permitido animais,Cozinha,Estacionamento gratuito,5.0,3,128,228,Novo preço mais baixo
97,41963184,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Apto Praia Grande - SP,6 hóspedes,2 quartos,3 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,5.0,6,317,417,Novo preço mais baixo
103,37515283,2021-02-26,2021-02-28,Apartamento inteiro em Praia Grande,Praia Grande - Ocian Apartamento pertinho do mar,10 hóspedes,3 quartos,6 camas,2 banheiros,Ar-condicionado,Cozinha,Estacionamento gratuito,Elevador,4.90,21,378,628,Novo preço mais baixo
104,24206250,2021-02-19,2021-02-21,Apartamento inteiro em Vila Julia,Apartamento com varanda e ventilador na Enseada,6 hóspedes,2 quartos,6 camas,1 banheiro e meio,Wi-Fi,Permitido animais,Cozinha,Estacionamento gratuito,4.39,46,154,274,Novo preço mais baixo
105,23175564,2021-02-26,2021-02-28,Condomínio inteiro em Aparecida,"Venha viver a Natureza, prédio frente  praia",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.79,84,160,240,Novo preço mais baixo
107,45620462,2021-02-19,2021-02-21,Apartamento inteiro em Vila Balneária,Apartamento Praia Grande,4 hóspedes,2 quartos,3 camas,2 banheiros,Vista para o mar,Vista para as águas,Permitido animais,Elevador,4.68,25,178,228,Novo preço mais baixo
109,40673627,2021-02-26,2021-02-28,Casa inteira em Loty,Casa Inteira com piscina Vila Loty Itanhaém,16 hóspedes,1 quarto,1 cama,2 banheiros,Wi-Fi,Máquina de Lavar,Ar-condicionado,Piscina,4.86,21,285,285,Novo preço mais baixo
113,44641452,2021-02-26,2021-02-28,Casa inteira em Savoy,Kit-net 6 pessoas pé na areia ot preço Itanhaem .,6 hóspedes,1 quarto,6 camas,1 banheiro,Cozinha,Estacionamento gratuito,Permitido animais,Vista para o mar,5.0,3,128,228,Novo preço mais baixo
118,45163399,2021-02-26,2021-02-28,Loft inteiro em Ilha Porchat,Loft com vista incrível para o mar! Ar cond 8andar,4 hóspedes,1 quarto,3 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Cozinha,Ar-condicionado,4.80,40,135,215,Novo preço mais baixo
120,39004822,2021-02-19,2021-02-21,Apartamento inteiro em Nova Mirim,Apartamento  pé na areia.,6 hóspedes,1 quarto,5 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.83,6,183,183,Novo preço mais baixo
121,23175564,2021-02-19,2021-02-21,Condomínio inteiro em Aparecida,"Venha viver a Natureza, prédio frente  praia",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Máquina de Lavar,Secadora,Academia,4.79,84,160,240,Novo preço mais baixo
126,27781045,2021-02-19,2021-02-21,Apartamento inteiro em Barra Funda,Apto confortável a uma quadra da praia (Guarujá),5 hóspedes,3 quartos,4 camas,2 banheiros,Wi-Fi,Máquina de Lavar,Self check-In,Ar-condicionado,5.0,58,315,445,Novo preço mais baixo
128,46604376,2021-02-26,2021-02-28,Apartamento inteiro em Itararé,Lindo ap 1 dorm na quadra da praia em São Vicente,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Cozinha,Máquina de Lavar,Vista para o mar,5.0,10,180,240,Novo preço mais baixo
130,46918355,2021-02-19,2021-02-21,Quarto inteiro em Itanhaém,"Quarto 11 - Pousada do Mar, próxima à praia!!",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Café da Manhã,Self check-In,Ar-condicionado,5.0,3,165,165,Novo preço mais baixo
135,36503430,2021-02-19,2021-02-21,Apartamento inteiro em Jardim Tres Marias,Apartamento Delmar - Pertinho da  praia,6 hóspedes,2 quartos,5 camas,2 banheiros,Self check-In,Permitido animais,Elevador,Cozinha,4.95,19,218,338,Novo preço mais baixo
141,36503430,2021-02-19,2021-02-21,Apartamento inteiro em Jardim Tres Marias,Apartamento Delmar - Pertinho da  praia,6 hóspedes,2 quartos,5 camas,2 banheiros,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.95,19,218,338,Novo preço mais baixo
151,45660011,2021-02-26,2021-02-28,Apartamento inteiro em Cidade Ocian,Apartamento Inteiro - próximo a Praia da Ocian.,8 hóspedes,2 quartos,4 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Cozinha,Ar-condicionado,5.0,8,227,277,Novo preço mais baixo
153,30745596,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,"Apartamento Kitnet-Balneário Florida, P. Grande-SP",5 hóspedes,Estúdio,3 camas,1 banheiro,Cozinha,Estacionamento gratuito,Vista para as águas,Vista para o mar,4.57,35,165,285,Novo preço mais baixo
191,45620462,2021-02-26,2021-02-28,Apartamento inteiro em Vila Balneária,Apartamento Praia Grande,4 hóspedes,2 quartos,3 camas,2 banheiros,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.68,25,178,228,Novo preço mais baixo
201,36976106,2021-02-26,2021-02-28,Apartamento inteiro em Guilhermina,Apartamento na orla da praia,6 hóspedes,2 quartos,3 camas,1 banheiro e meio,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.97,32,265,365,Novo preço mais baixo
202,46918355,2021-02-19,2021-02-21,Quarto inteiro em Itanhaém,"Quarto 11 - Pousada do Mar, próxima à praia!!",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,5.0,3,165,165,Novo preço mais baixo
210,24206250,2021-02-19,2021-02-21,Apartamento inteiro em Vila Julia,Apartamento com varanda e ventilador na Enseada,6 hóspedes,2 quartos,6 camas,1 banheiro e meio,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.39,46,154,274,Novo preço mais baixo
